Jahr,Burgenland,Kärnten,Niederösterreich,Oberösterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien,Österreich
2005,11755,31554,87328,79018,35903,64583,49709,20836,223543,604229
2006,10307,31705,83407,74822,36044,64466,48150,20831,218497,588229
2007,10614,31864,86080,80182,36100,61806,49187,22392,214411,592636
2008,9766,30815,80660,75972,33652,58151,47610,21121,213205,570952
2009,9998,31666,83422,74382,34435,58259,46873,22440,228486,589961
2010,9236,29845,72782,65692,29835,54338,44158,20657,207808,534351
2011,10391,30034,78753,67174,31252,55015,45920,20611,200820,539970
2012,10363,29819,79390,68076,31980,57881,46470,20848,202937,547764
2013,10256,27888,76264,66654,31236,56792,44916,19887,212503,546396
2014,9406,26560,75352,63836,30232,56375,43910,19595,202426,527692
